,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
52,53,2,586.2901166908435,515.5471127040757,70.7430039867678,119405.254543307,0.00025,28912.363752825582,27534.6182961326,1377.7454566929655,1000
53,54,2,586.2901166908435,515.2418517964617,71.04826489438187,119334.20627841262,0.00025,29498.653869516427,28049.860147929063,1448.7937215873474,1000
54,55,2,586.2901166908435,514.9352736671229,71.3548430237206,119262.8514353889,0.00025,30084.943986207272,28564.795421596187,1520.148564611068,1000
55,56,2,586.2901166908435,514.6273726321576,71.66274405868592,119191.18869133022,0.00025,30671.234102898117,29079.422794228343,1591.811308669754,1000
56,57,2,586.2901166908435,514.3181429831372,71.9719737077063,119119.2167176225,0.00025,31257.524219588962,29593.74093721148,1663.7832823774602,1000
57,58,2,586.2901166908435,514.0075789870011,72.28253770384242,119046.93417991867,0.00025,31843.814336279807,30107.748516198484,1736.0658200813027,1000
58,59,2,586.2901166908435,513.6956748859503,72.59444180489322,118974.33973811378,0.00025,32430.104452970652,30621.444191084436,1808.660261886196,1000
59,60,2,586.2901166908435,513.3824248973402,72.90769179350332,118901.43204632027,0.00025,33016.3945696615,31134.826615981776,1881.5679536796993,1000
60,61,2,586.2901166908435,513.0678232135737,73.22229347726989,118828.209752843,0.00025,33602.68468635234,31647.89443919535,1954.7902471569691,1000
61,62,2,586.2901166908435,512.7518640019938,73.53825268884975,118754.67150015416,0.00025,34188.97480304318,32160.646303197344,2028.328499845819,1000
62,63,2,586.2901166908435,512.4345414047748,73.85557528606876,118680.81592486809,0.00025,34775.26491973402,32673.08084460212,2102.1840751318878,1000
63,64,2,586.2901166908435,512.1158495388144,74.17426715202919,118606.64165771606,0.00025,35361.55503642486,33185.196694140934,2176.358342283917,1000
64,65,2,586.2901166908435,511.79578249562405,74.4943341952195,118532.14732352084,0.00025,35947.845153115704,33696.99247663656,2250.8526764791363,1000
65,66,2,586.2901166908435,511.47433434122,74.81578234962353,118457.33154117121,0.00025,36534.135269806546,34208.46681097778,2325.66845882876,1000
66,67,2,586.2901166908435,511.1514991160127,75.13861757483085,118382.19292359638,0.00025,37120.42538649739,34719.61831009379,2400.8070764035906,1000
67,68,2,586.2901166908435,510.8272708346966,75.46284585614694,118306.73007774023,0.00025,37706.71550318823,35230.44558092849,2476.2699222597375,1000
68,69,2,586.2901166908435,510.50164348613924,75.7884732047043,118230.94160453552,0.00025,38293.00561987907,35740.94722441463,2552.0583954644417,1000
69,70,2,586.2901166908435,510.1746110332697,76.11550565757386,118154.82609887794,0.00025,38879.29573656991,36251.1218354479,2628.1739011220156,1000
70,71,2,586.2901166908435,509.8461674129664,76.44394927787715,118078.38214960006,0.00025,39465.58585326075,36760.96800286086,2704.6178503998926,1000
71,72,2,586.2901166908435,509.51630653594543,76.77381015489811,118001.60833944516,0.00025,40051.875969951594,37270.48430939681,2781.3916605547906,1000
72,73,3,615.7905187757049,509.18502228664687,106.605496489058,117895.00284295609,0.00025,40667.6664887273,37779.66933168346,2887.997157043849,1000
73,74,3,615.7905187757049,508.72501226755014,107.06550650815473,117787.93733644794,0.00025,41283.457007503006,38288.394343951004,2995.0626635520034,1000
74,75,3,615.7905187757049,508.2630172737137,107.5275015019912,117680.40983494595,0.00025,41899.24752627871,38796.657361224716,3102.5901650539945,1000
75,76,3,615.7905187757049,507.7990287398352,107.99149003586967,117572.41834491008,0.00025,42515.03804505442,39304.45638996455,3210.5816550898644,1000
76,77,3,615.7905187757049,507.3330380636531,108.45748071205179,117463.96086419803,0.00025,43130.828563830124,39811.789428028205,3319.039135801916,1000
77,78,3,615.7905187757049,506.865036605786,108.9254821699189,117355.03538202812,0.00025,43746.61908260583,40318.65446463399,3427.9646179718347,1000
78,79,3,615.7905187757049,506.39501568957326,109.39550308613161,117245.63987894199,0.00025,44362.409601381536,40825.04948032356,3537.3601210579664,1000
79,80,3,615.7905187757049,505.92296660091404,109.86755217479083,117135.7723267672,0.00025,44978.20012015724,41330.972446924476,3647.2276732327573,1000
80,81,3,615.7905187757049,505.44888058810494,110.34163818759993,117025.4306885796,0.00025,45593.99063893295,41836.42132751258,3757.5693114203573,1000
81,82,3,615.7905187757049,504.972748861679,110.81776991402586,116914.61291866557,0.00025,46209.781157708654,42341.39407637426,3868.3870813343833,1000
82,83,3,615.7905187757049,504.4945625942418,111.29595618146305,116803.31696248411,0.00025,46825.57167648436,42845.8886389685,3979.6830375158465,1000
83,84,3,615.7905187757049,504.01431292030804,111.77620585539682,116691.54075662872,0.00025,47441.362195260066,43349.902951888806,4091.4592433712432,1000
84,85,3,615.7905187757049,503.5319909361375,112.25852783956736,116579.28222878915,0.00025,48057.15271403577,43853.43494282494,4203.7177712108105,1000
85,86,3,615.7905187757049,503.0475876995696,112.74293107613528,116466.53929771301,0.00025,48672.94323281148,44356.48253052451,4316.460702286946,1000
86,87,3,615.7905187757049,502.56109422985753,113.22942454584734,116353.30987316716,0.00025,49288.733751587184,44859.04362475437,4429.690126832793,1000
87,88,3,615.7905187757049,502.07250150750207,113.7180172682028,116239.59185589897,0.00025,49904.52427036289,45361.11612626187,4543.408144100996,1000
88,89,3,615.7905187757049,501.58180047408456,114.20871830162031,116125.38313759734,0.00025,50520.314789138596,45862.69792673596,4657.616862402616,1000
89,90,3,615.7905187757049,501.088982032098,114.70153674360688,116010.68160085373,0.00025,51136.1053079143,46363.78690876805,4772.318399146223,1000
90,91,3,615.7905187757049,500.5940370447798,115.19648173092509,115895.48511912281,0.00025,51751.89582669001,46864.38094581283,4887.514880877148,1000
91,92,3,615.7905187757049,500.09695633594083,115.69356243976404,115779.79155668305,0.00025,52367.686345465714,47364.47790214877,5003.208443316912,1000
92,93,3,615.7905187757049,499.59773068979666,116.1927880859082,115663.59876859713,0.00025,52983.47686424142,47864.07563283857,5119.4012314028205,1000
93,94,3,615.7905187757049,499.09635085079583,116.69416792490904,115546.90460067222,0.00025,53599.267383017126,48363.17198368937,5236.09539932773,1000
94,95,3,615.7905187757049,498.59280752344864,117.19771125225623,115429.70688941996,0.00025,54215.05790179283,48861.764791212816,5353.293110579986,1000
95,96,3,615.7905187757049,498.0870913721546,117.70342740355028,115312.00346201641,0.00025,54830.84842056854,49359.85188258497,5470.996537983537,1000
96,97,4,644.618519641209,497.5791930210297,147.03932662017928,115164.96413539622,0.00025,55475.46694020975,49857.431075606,5618.035864603716,1000
97,98,4,644.618519641209,496.9447082554768,147.67381138573217,115017.2903240105,0.00025,56120.08545985096,50354.37578386148,5765.7096759894475,1000
98,99,4,644.618519641209,496.3074856447028,148.31103399650618,114868.97929001399,0.00025,56764.70397949217,50850.68326950618,5914.0207099859535,1000
99,100,4,644.618519641209,495.6675133747178,148.95100626649116,114720.0282837475,0.00025,57409.322499133385,51346.3507828809,6062.971716252445,1000
100,101,4,644.618519641209,495.0247795805542,149.5937400606548,114570.43454368685,0.00025,58053.941018774596,51841.37556246146,6212.565456313099,1000
101,102,4,644.618519641209,494.3792723460459,150.23924729516307,114420.19529639168,0.00025,58698.55953841581,52335.7548348075,6362.804703608263,1000
102,103,4,644.618519641209,493.7309797036079,150.8875399376011,114269.30775645409,0.00025,59343.17805805702,52829.48581451111,6513.692243545864,1000
103,104,4,644.618519641209,493.0798896340142,151.5386300071948,114117.76912644689,0.00025,59987.79657769823,53322.56570414512,6665.230873553059,1000
104,105,4,644.618519641209,492.42599006617485,152.19252957503414,113965.57659687185,0.00025,60632.41509733944,53814.9916942113,6817.423403128093,1000
105,106,4,644.618519641209,491.7692688769127,152.8492507642963,113812.72734610755,0.00025,61277.033616980654,54306.76096308821,6970.272653892389,1000
106,107,4,644.618519641209,491.109713890738,153.50880575047097,113659.21854035708,0.00025,61921.652136621866,54797.87067697894,7123.78145964286,1000
107,108,4,644.618519641209,490.447312879623,154.171206761586,113505.04733359549,0.00025,62566.27065626308,55288.317989858566,7277.952666404446,1000
108,109,4,644.618519641209,489.782053562775,154.836466078434,113350.21086751706,0.00025,63210.88917590429,55778.10004342134,7432.78913248288,1000
109,110,4,644.618519641209,489.11392360640923,155.50459603479976,113194.70627148225,0.00025,63855.5076955455,56267.213967027754,7588.2937285176795,1000
110,111,4,644.618519641209,488.44291062351925,156.17560901768974,113038.53066246456,0.00025,64500.12621518671,56755.65687765127,7744.469337535369,1000
111,112,4,644.618519641209,487.76900217364846,156.84951746756053,112881.681144997,0.00025,65144.744734827924,57243.42587982492,7901.31885500293,1000
112,113,4,644.618519641209,487.09218576265823,157.52633387855076,112724.15481111845,0.00025,65789.36325446914,57730.51806558758,8058.845188881481,1000
113,114,4,644.618519641209,486.4124488424974,158.2060707987116,112565.94874031974,0.00025,66433.98177411035,58216.93051443008,8217.051259680193,1000
114,115,4,644.618519641209,485.7297788109687,158.8887408302403,112407.0599994895,0.00025,67078.60029375156,58702.66029324105,8375.940000510433,1000
115,116,4,644.618519641209,485.0441630114957,159.5743566297133,112247.48564285979,0.00025,67723.21881339277,59187.70445625255,8535.514357140146,1000
116,117,4,644.618519641209,484.35558873288807,160.26293090832093,112087.22271195146,0.00025,68367.83733303398,59672.06004498544,8695.777288048466,1000
117,118,4,644.618519641209,483.66404320910556,160.95447643210343,111926.26823551935,0.00025,69012.4558526752,60155.72408819455,8856.73176448057,1000
118,119,4,644.618519641209,482.9695136190218,161.64900602218717,111764.61922949717,0.00025,69657.0743723164,60638.69360181357,9018.380770502758,1000
119,120,4,644.618519641209,482.27198708618636,162.34653255502263,111602.27269694215,0.00025,70301.69289195762,61120.96558889975,9180.72730305778,1000
120,121,5,672.5190878154445,481.5714506785859,190.94763713685865,111411.32505980528,0.00025,70974.21197977306,61602.53703957834,9371.674940194638,1000
121,122,5,672.5190878154445,480.7474985457351,191.77158926970947,111219.55347053557,0.00025,71646.7310675885,62083.28453812408,9563.446529464347,1000
122,123,5,672.5190878154445,479.9199910029959,192.59909681244864,111026.95437372311,0.00025,72319.25015540393,62563.20452912707,9756.045626276795,1000
123,124,5,672.5190878154445,479.0889127085312,193.43017510691334,110833.5241986162,0.00025,72991.76924321937,63042.2934418356,9949.475801383709,1000
124,125,5,672.5190878154445,478.25424825430275,194.2648395611418,110639.25935905505,0.00025,73664.28833103481,63520.5476900899,10143.74064094485,1000
125,126,5,672.5190878154445,477.41598216578546,195.10310564965908,110444.1562534054,0.00025,74336.80741885025,63997.96367225569,10338.84374659451,1000
126,127,5,672.5190878154445,476.57409890168077,195.94498891376378,110248.21126449163,0.00025,75009.32650666569,64474.53777115737,10534.788735508273,1000
127,128,5,672.5190878154445,475.7285828536282,196.79050496181634,110051.42075952982,0.00025,75681.84559448113,64950.26635401099,10731.57924047009,1000
128,129,5,672.5190878154445,474.8794183459163,197.63966946952826,109853.78109006029,0.00025,76354.36468229657,65425.14577235691,10929.218909939618,1000
129,130,5,672.5190878154445,474.0265896351916,198.49249818025294,109655.28859188005,0.00025,77026.883770112,65899.1723619921,11127.71140811987,1000
130,131,5,672.5190878154445,473.17008091016726,199.3490069052773,109455.93958497477,0.00025,77699.40285792745,66372.34244290226,11327.060415025147,1000
131,132,5,672.5190878154445,472.30987629132943,200.20921152411512,109255.73037345066,0.00025,78371.92194574288,66844.65231919358,11527.269626549263,1000
132,133,5,672.5190878154445,471.44595983064323,201.07312798480132,109054.65724546586,0.00025,79044.44103355832,67316.09827902423,11728.342754534064,1000
133,134,5,672.5190878154445,470.57831551125673,201.94077230418782,108852.71647316166,0.00025,79716.96012137376,67786.67659453549,11930.283526838251,1000
134,135,5,672.5190878154445,469.70692724720436,202.8121605682402,108649.90431259343,0.00025,80389.4792091892,68256.38352178269,12133.095687406492,1000
135,136,5,672.5190878154445,468.8317788831086,203.68730893233595,108446.21700366109,0.00025,81061.99829700464,68725.21530066579,12336.782996338829,1000
136,137,5,672.5190878154445,467.95285419388,204.56623362156455,108241.65077003953,0.00025,81734.51738482008,69193.16815485967,12541.349229960393,1000
137,138,5,672.5190878154445,467.0701368844171,205.44895093102747,108036.20181910851,0.00025,82407.03647263552,69660.23829174408,12746.798180891421,1000
138,139,5,672.5190878154445,466.1836105893038,206.33547722614077,107829.86634188237,0.00025,83079.55556045096,70126.42190233339,12953.133658117562,1000
139,140,5,672.5190878154445,465.29325887250604,207.2258289429385,107622.64051293943,0.00025,83752.0746482664,70591.7151612059,13160.359487060501,1000
